Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,MCC,ROC_AUC,PR_AUC,TN,FP,FN,TP,Dataset,Repeat,Seed
0.8392857142857143,0.8385416666666667,0.8709677419354839,0.84375,0.8333333333333334,0.8571428571428571,0.6740186015747764,0.9283854166666666,0.9430502215252767,20,4,5,27,STRICT,1,11
0.8392857142857143,0.84375,0.896551724137931,0.8125,0.875,0.8524590163934426,0.6808829066491902,0.90625,0.9269565564816358,21,3,6,26,STRICT,2,22
0.8035714285714286,0.796875,0.8181818181818182,0.84375,0.75,0.8307692307692308,0.5972598827888349,0.8958333333333334,0.9219450222031429,18,6,5,27,STRICT,3,33
0.8392857142857143,0.8333333333333333,0.8484848484848485,0.875,0.7916666666666666,0.8615384615384616,0.6706075876927269,0.9186197916666666,0.9381035843752772,19,5,4,28,STRICT,4,44
0.7857142857142857,0.78125,0.8125,0.8125,0.75,0.8125,0.5625,0.90625,0.9296251443250008,18,6,6,26,STRICT,5,55
0.8392857142857143,0.8333333333333333,0.8484848484848485,0.875,0.7916666666666666,0.8615384615384616,0.6706075876927269,0.931640625,0.9493498827848657,19,5,4,28,STRICT,6,66
0.8571428571428571,0.859375,0.9,0.84375,0.875,0.8709677419354839,0.7131997238879487,0.9381510416666666,0.9532897383308461,21,3,5,27,STRICT,7,77
0.75,0.7552083333333333,0.8214285714285714,0.71875,0.7916666666666666,0.7666666666666667,0.5051814855409226,0.87890625,0.9072840915492517,19,5,9,23,STRICT,8,88
0.8214285714285714,0.8125,0.8235294117647058,0.875,0.75,0.8484848484848485,0.6333004963811236,0.9095052083333334,0.932585824368373,18,6,4,28,STRICT,9,99
0.8214285714285714,0.8229166666666667,0.8666666666666667,0.8125,0.8333333333333334,0.8387096774193549,0.6408461287109104,0.876953125,0.8961708058112657,20,4,6,26,STRICT,10,111
0.7586206896551724,0.7560096153846154,0.78125,0.78125,0.7307692307692307,0.78125,0.5120192307692307,0.8858173076923077,0.9092471053138409,19,7,7,25,EXTENDED,1,11
0.7931034482758621,0.7908653846153846,0.8125,0.8125,0.7692307692307693,0.8125,0.5817307692307693,0.8978365384615384,0.9216023406263251,20,6,6,26,EXTENDED,2,22
0.7758620689655172,0.7716346153846154,0.7878787878787878,0.8125,0.7307692307692307,0.8,0.5455691410313523,0.8972355769230769,0.9296824786087714,19,7,6,26,EXTENDED,3,33
0.8103448275862069,0.8064903846153846,0.8181818181818182,0.84375,0.7692307692307693,0.8307692307692308,0.6155758007212162,0.8858173076923077,0.9124448412495794,20,6,5,27,EXTENDED,4,44
0.7758620689655172,0.7788461538461539,0.8275862068965517,0.75,0.8076923076923077,0.7868852459016393,0.554700196225229,0.8852163461538461,0.9108170408304368,21,5,8,24,EXTENDED,5,55
0.8275862068965517,0.8293269230769231,0.8666666666666667,0.8125,0.8461538461538461,0.8387096774193549,0.6555098957630032,0.8870192307692308,0.9129045941337297,22,4,6,26,EXTENDED,6,66
0.7586206896551724,0.7560096153846154,0.78125,0.78125,0.7307692307692307,0.78125,0.5120192307692307,0.8930288461538461,0.9237300155821463,19,7,7,25,EXTENDED,7,77
0.7931034482758621,0.7944711538461539,0.8333333333333334,0.78125,0.8076923076923077,0.8064516129032258,0.5861311111749482,0.8990384615384615,0.9255178027783825,21,5,7,25,EXTENDED,8,88
0.7586206896551724,0.7524038461538461,0.7647058823529411,0.8125,0.6923076923076923,0.7878787878787878,0.5097327620310301,0.9158653846153847,0.9384965459270262,18,8,6,26,EXTENDED,9,99
0.7241379310344828,0.7211538461538461,0.75,0.75,0.6923076923076923,0.75,0.4423076923076923,0.8870192307692308,0.9175566027356121,18,8,8,24,EXTENDED,10,111
