Kecamatan,Year,Produktivitas_q_ha,Produktivitas_ton_ha,B2,B3,B4,B8,B11,B12,NDVI,NDWI
Bagor,2023,93.7,9.37,0.05834,0.07716,0.07923,0.21622,0.2063,0.143,0.43403,-0.45284
Gondang,2023,103.66,10.366,0.06242,0.08465,0.09137,0.23858,0.23533,0.15912,0.42396,-0.45588
Rejoso,2023,123.97,12.397,0.05125,0.07086,0.07072,0.22681,0.20845,0.13383,0.49421,-0.49476
Sukomoro,2023,109.72,10.972,0.06268,0.08445,0.08413,0.23687,0.20013,0.13438,0.44439,-0.44874
Bagor,2024,114.01,11.401,0.05287,0.07271,0.06967,0.22496,0.19503,0.12933,0.50001,-0.48684
Gondang,2024,73.55,7.355,0.0541,0.0761,0.07345,0.24783,0.21781,0.13591,0.52001,-0.50874
Rejoso,2024,107.58,10.758,0.04425,0.06439,0.05522,0.24462,0.19182,0.11129,0.60894,-0.56136
Sukomoro,2024,110.02,11.002,0.05658,0.07771,0.07293,0.23211,0.17874,0.11772,0.48995,-0.4693
Bagor,2025,119.507,11.951,0.05235,0.07179,0.06607,0.2298,0.19639,0.12464,0.52818,-0.49826
Gondang,2025,95.084,9.508,0.05443,0.07686,0.07194,0.25215,0.22172,0.13534,0.53647,-0.51273
Rejoso,2025,115.219,11.522,0.04497,0.06511,0.05482,0.24667,0.19356,0.1105,0.6029,-0.55182
Sukomoro,2025,115.773,11.577,0.05733,0.0775,0.07148,0.2316,0.18349,0.11876,0.49816,-0.47232
