Parent_Site,Lokasi,Kecamatan,Label,Kelas_Detail,Confidence,Fold,Probability_Bawang,Prediction_050,Kelas_Detail_QC,Bawang_Spectral_Distance,QC_Final_Status,OOF_Result,Error_Severity,Audit_Priority,Verified_Label,Verification_Status,Verification_Notes,Latitude,Longitude,Manual_Status,Manual_Label,Manual_Notes
NB001,Kantor Kecamatan,Sukomoro,0,Permukiman/Bangunan,High,1,0.9569909,1,Permukiman/Bangunan,0.7132106874996601,KEEP_HARD_NEGATIVE,FALSE_POSITIVE,0.9569909,PRIORITY_1,,BELUM_DIPERIKSA,,-7.59853457801759,111.9422565733922,BELUM_DIPERIKSA,,
BW029,Area Selatan Jalan Arteri,Bagor,1,Bawang Merah,High,3,0.06208343,0,Bawang Merah,1.908590635078026,KEEP_HIGH,FALSE_NEGATIVE,0.93791657,PRIORITY_1,,BELUM_DIPERIKSA,,-7.5830835551307345,111.85619796917356,BELUM_DIPERIKSA,,
NB006,Jalan Timur,Sukomoro,0,Jalan,High,3,0.93092996,1,Jalan,3.283213257699724,KEEP_HARD_NEGATIVE,FALSE_POSITIVE,0.93092996,PRIORITY_1,,BELUM_DIPERIKSA,,-7.594222664653817,111.94809562273898,BELUM_DIPERIKSA,,
BW036,Persawahan Ngujung,Gondang,1,Bawang Merah,High,3,0.07982535,0,Bawang Merah,4.370611533532749,KEEP_HIGH,FALSE_NEGATIVE,0.92017465,PRIORITY_1,,BELUM_DIPERIKSA,,-7.488131629599301,111.94836511732422,BELUM_DIPERIKSA,,
BW037,Blok Timur Karangsemi,Gondang,1,Bawang Merah,Medium,3,0.11002967,0,Bawang Merah,3.9689975757278,KEEP_MEDIUM,FALSE_NEGATIVE,0.88997033,PRIORITY_1,,BELUM_DIPERIKSA,,-7.497204613968908,111.96013304754618,BELUM_DIPERIKSA,,
NB008,Hutan Rimba,Gondang,0,Hutan,High,4,0.87672985,1,Hutan,2.9137908994954187,KEEP_HARD_NEGATIVE,FALSE_POSITIVE,0.87672985,PRIORITY_1,,BELUM_DIPERIKSA,,-7.4452819905468,111.94549050841503,BELUM_DIPERIKSA,,
NB005,Jalan Barat,Bagor,0,Jalan,High,2,0.8576261,1,Jalan,2.103104641670588,KEEP_HARD_NEGATIVE,FALSE_POSITIVE,0.8576261,PRIORITY_1,,BELUM_DIPERIKSA,,-7.575268212158894,111.85916240961114,BELUM_DIPERIKSA,,
NB004,Sawah Padi,Gondang,0,Padi,High,4,0.8498386,1,Padi,2.713543140607493,KEEP_HARD_NEGATIVE,FALSE_POSITIVE,0.8498386,PRIORITY_1,,BELUM_DIPERIKSA,,-7.485167189161706,111.95869574309158,BELUM_DIPERIKSA,,
BW023,Area Pertanian Banaran,Bagor,1,Bawang Merah,High,2,0.18323447,0,Bawang Merah,1.238383679257235,KEEP_HIGH,FALSE_NEGATIVE,0.81676553,PRIORITY_1,,BELUM_DIPERIKSA,,-7.581197093034083,111.85161656122452,BELUM_DIPERIKSA,,
BW040,Sawah Dekat Hutan,Gondang,1,Bawang Merah,High,1,0.234084,0,Bawang Merah,4.026646636031508,KEEP_HIGH,FALSE_NEGATIVE,0.765916,PRIORITY_2,,BELUM_DIPERIKSA,,-7.459744866621124,111.95833641697794,BELUM_DIPERIKSA,,
NB007,Hutan Jati,Rejoso,0,Hutan Jati,High,2,0.7601071,1,Hutan Jati,9.715170432230511,KEEP_NEGATIVE,FALSE_POSITIVE,0.7601071,PRIORITY_2,,BELUM_DIPERIKSA,,-7.491455396150544,111.88422540603808,BELUM_DIPERIKSA,,
BW003,Selatan Stasiun Sukomoro,Sukomoro,1,Bawang Merah,High,4,0.28668025,0,Bawang Merah,2.42716195154345,KEEP_HIGH,FALSE_NEGATIVE,0.7133197499999999,PRIORITY_2,,BELUM_DIPERIKSA,,-7.595390474523172,111.94611932911393,BELUM_DIPERIKSA,,
BW026,Sawah Desa Ngumpul,Bagor,1,Bawang Merah,High,1,0.31431022,0,Bawang Merah,4.071626814352514,KEEP_HIGH,FALSE_NEGATIVE,0.68568978,PRIORITY_2,,BELUM_DIPERIKSA,,-7.568081689885938,111.86338449144652,BELUM_DIPERIKSA,,
BW010,Sawah Selatan Rel KA,Sukomoro,1,Bawang Merah,High,2,0.3878627,0,Bawang Merah,1.30757589596236,KEEP_HIGH,FALSE_NEGATIVE,0.6121373,PRIORITY_2,,BELUM_DIPERIKSA,,-7.596737947449351,111.94028027976714,BELUM_DIPERIKSA,,
NB003,Lahan Tebu,Gondang,0,Tebu,High,1,0.5793261,1,Tebu,3.65269596123908,KEEP_HARD_NEGATIVE,FALSE_POSITIVE,0.5793261,PRIORITY_2,,BELUM_DIPERIKSA,,-7.472141617541973,111.9610313628303,BELUM_DIPERIKSA,,
BW012,Area Pertanian Banjarejo,Rejoso,1,Bawang Merah,High,2,0.4303873,0,Bawang Merah,1.7855052148341886,KEEP_HIGH,FALSE_NEGATIVE,0.5696127,PRIORITY_2,,BELUM_DIPERIKSA,,-7.542300041231708,111.8814406286573,BELUM_DIPERIKSA,,
BW006,Blok Pertanian Kapas Barat,Sukomoro,1,Bawang Merah,High,4,0.44104338,0,Bawang Merah,3.073042123907737,KEEP_HIGH,FALSE_NEGATIVE,0.55895662,PRIORITY_2,,BELUM_DIPERIKSA,,-7.606349920989429,111.93641752404542,BELUM_DIPERIKSA,,
BW007,Sawah Desa Bungur,Sukomoro,1,Bawang Merah,High,3,0.4463965,0,Bawang Merah,1.509849416794741,KEEP_HIGH,FALSE_NEGATIVE,0.5536035,PRIORITY_2,,BELUM_DIPERIKSA,,-7.581197093034083,111.94010061671032,BELUM_DIPERIKSA,,
BW035,Sawah Desa Balonggebang,Gondang,1,Bawang Merah,High,2,0.4597585,0,Bawang Merah,1.4512917064347888,KEEP_HIGH,FALSE_NEGATIVE,0.5402415,PRIORITY_2,,BELUM_DIPERIKSA,,-7.512655636855763,111.954204166671,BELUM_DIPERIKSA,,
BW002,Persawahan Desa Nglundo,Sukomoro,1,Bawang Merah,High,2,0.4832731,0,Bawang Merah,3.4449326015245125,KEEP_HIGH,FALSE_NEGATIVE,0.5167269,PRIORITY_2,,BELUM_DIPERIKSA,,-7.586317490153564,111.9482752857958,BELUM_DIPERIKSA,,
BW020,Sawah Dekat Sungai,Rejoso,1,Bawang Merah,High,2,0.4888314,0,Bawang Merah,0.4594397073689,KEEP_HIGH,FALSE_NEGATIVE,0.5111686,PRIORITY_2,,BELUM_DIPERIKSA,,-7.541761052061236,111.88431523756648,BELUM_DIPERIKSA,,
BW017,Blok Barat Rejoso,Rejoso,1,Bawang Merah,High,1,0.5535352,1,Bawang Merah,3.3012504644720377,KEEP_HIGH,TRUE_POSITIVE,0.4464648,OK,,BELUM_DIPERIKSA,,-7.546162796953422,111.8791050089186,BELUM_DIPERIKSA,,
BW014,Timur Kantor Kecamatan,Rejoso,1,Bawang Merah,High,2,0.5581819,1,Bawang Merah,1.6584013208627215,KEEP_HIGH,TRUE_POSITIVE,0.4418181,OK,,BELUM_DIPERIKSA,,-7.54840858516372,111.88853731940183,BELUM_DIPERIKSA,,
BW004,Area Timur Pasar Sukomoro,Sukomoro,1,Bawang Merah,High,4,0.6084652,1,Bawang Merah,1.663246877098066,KEEP_HIGH,TRUE_POSITIVE,0.3915347999999999,OK,,BELUM_DIPERIKSA,,-7.597546431205059,111.94719730745486,BELUM_DIPERIKSA,,
BW019,Area Utara Jalan Tol,Rejoso,1,Bawang Merah,High,4,0.6379013,1,Bawang Merah,1.5686057711381274,KEEP_HIGH,TRUE_POSITIVE,0.3620987,OK,,BELUM_DIPERIKSA,,-7.5251422193050255,111.88620169966312,BELUM_DIPERIKSA,,
NB002,Gudang Warga,Sukomoro,0,Bangunan,High,3,0.35865813,0,Bangunan,1.9792103684375244,KEEP_HARD_NEGATIVE,TRUE_NEGATIVE,0.35865813,OK,,BELUM_DIPERIKSA,,-7.596109126750467,111.94153792116492,BELUM_DIPERIKSA,,
BW001,Utara Jalan Raya Sukomoro,Sukomoro,1,Bawang Merah,High,4,0.6488997,1,Bawang Merah,4.8239345402884535,KEEP_HIGH,TRUE_POSITIVE,0.3511003,OK,,BELUM_DIPERIKSA,,-7.585059848755797,111.93524971417608,BELUM_DIPERIKSA,,
BW028,Sawah Barat Timbangan,Bagor,1,Bawang Merah,High,1,0.69498956,1,Bawang Merah,3.187412753731605,KEEP_HIGH,TRUE_POSITIVE,0.30501044,OK,,BELUM_DIPERIKSA,,-7.57643602202825,111.86050988253731,BELUM_DIPERIKSA,,
BW034,Area Selatan Gondang,Gondang,1,Bawang Merah,High,4,0.7118199,1,Bawang Merah,1.9669155855962928,KEEP_HIGH,TRUE_POSITIVE,0.2881801,OK,,BELUM_DIPERIKSA,,-7.508433555020402,111.95752793322222,BELUM_DIPERIKSA,,
BW011,Persawahan Desa Rejoso,Rejoso,1,Bawang Merah,High,3,0.746853,1,Bawang Merah,2.1087403145287333,KEEP_HIGH,TRUE_POSITIVE,0.253147,OK,,BELUM_DIPERIKSA,,-7.545084818612478,111.8852135528506,BELUM_DIPERIKSA,,
BW039,Area Pertanian Kedungglugu,Gondang,1,Bawang Merah,Medium,4,0.8262596,1,Bawang Merah,3.106924116426229,KEEP_MEDIUM,TRUE_POSITIVE,0.1737404,OK,,BELUM_DIPERIKSA,,-7.465134758325841,111.96121102588712,BELUM_DIPERIKSA,,
BW027,Pertanian Kendalrejo,Bagor,1,Bawang Merah,High,1,0.83379054,1,Bawang Merah,1.7321512517672468,KEEP_HIGH,TRUE_POSITIVE,0.16620946,OK,,BELUM_DIPERIKSA,,-7.59116839268781,111.85916240961114,BELUM_DIPERIKSA,,
BW022,Sawah Desa Guyangan,Bagor,1,Bawang Merah,High,1,0.8614375,1,Bawang Merah,3.004926602663009,KEEP_HIGH,TRUE_POSITIVE,0.1385625,OK,,BELUM_DIPERIKSA,,-7.5723037717213,111.86140819782143,BELUM_DIPERIKSA,,
BW025,Blok Timur Bagor,Bagor,1,Bawang Merah,Medium,4,0.86159164,1,Bawang Merah,0.8358165221145498,KEEP_MEDIUM,TRUE_POSITIVE,0.13840836,OK,,BELUM_DIPERIKSA,,-7.575627538272542,111.86823539398075,BELUM_DIPERIKSA,,
BW033,Pertanian Desa Campur,Gondang,1,Bawang Merah,Medium,3,0.91874874,1,Bawang Merah,2.972256556393255,KEEP_MEDIUM,TRUE_POSITIVE,0.08125126,OK,,BELUM_DIPERIKSA,,-7.481214601911581,111.95258719915957,BELUM_DIPERIKSA,,
