Parent_Site,Lokasi,Kecamatan,Label,Kelas_Detail,Confidence,Fold,Probability_Bawang,Prediction_050,Kelas_Detail_QC,Bawang_Spectral_Distance,QC_Final_Status,OOF_Result,Error_Severity,Audit_Priority,Verified_Label,Verification_Status,Verification_Notes
NB001,Kantor Kecamatan,Sukomoro,0,Permukiman/Bangunan,High,1,0.9569909,1,Permukiman/Bangunan,0.7132106874996601,KEEP_HARD_NEGATIVE,FALSE_POSITIVE,0.9569909,PRIORITY_1,,BELUM_DIPERIKSA,
BW029,Area Selatan Jalan Arteri,Bagor,1,Bawang Merah,High,3,0.06208343,0,Bawang Merah,1.908590635078026,KEEP_HIGH,FALSE_NEGATIVE,0.93791657,PRIORITY_1,,BELUM_DIPERIKSA,
NB006,Jalan Timur,Sukomoro,0,Jalan,High,3,0.93092996,1,Jalan,3.283213257699724,KEEP_HARD_NEGATIVE,FALSE_POSITIVE,0.93092996,PRIORITY_1,,BELUM_DIPERIKSA,
BW036,Persawahan Ngujung,Gondang,1,Bawang Merah,High,3,0.07982535,0,Bawang Merah,4.370611533532749,KEEP_HIGH,FALSE_NEGATIVE,0.92017465,PRIORITY_1,,BELUM_DIPERIKSA,
BW037,Blok Timur Karangsemi,Gondang,1,Bawang Merah,Medium,3,0.11002967,0,Bawang Merah,3.9689975757278,KEEP_MEDIUM,FALSE_NEGATIVE,0.88997033,PRIORITY_1,,BELUM_DIPERIKSA,
NB008,Hutan Rimba,Gondang,0,Hutan,High,4,0.87672985,1,Hutan,2.9137908994954187,KEEP_HARD_NEGATIVE,FALSE_POSITIVE,0.87672985,PRIORITY_1,,BELUM_DIPERIKSA,
NB005,Jalan Barat,Bagor,0,Jalan,High,2,0.8576261,1,Jalan,2.103104641670588,KEEP_HARD_NEGATIVE,FALSE_POSITIVE,0.8576261,PRIORITY_1,,BELUM_DIPERIKSA,
NB004,Sawah Padi,Gondang,0,Padi,High,4,0.8498386,1,Padi,2.713543140607493,KEEP_HARD_NEGATIVE,FALSE_POSITIVE,0.8498386,PRIORITY_1,,BELUM_DIPERIKSA,
BW023,Area Pertanian Banaran,Bagor,1,Bawang Merah,High,2,0.18323447,0,Bawang Merah,1.238383679257235,KEEP_HIGH,FALSE_NEGATIVE,0.81676553,PRIORITY_1,,BELUM_DIPERIKSA,
BW040,Sawah Dekat Hutan,Gondang,1,Bawang Merah,High,1,0.234084,0,Bawang Merah,4.026646636031508,KEEP_HIGH,FALSE_NEGATIVE,0.765916,PRIORITY_2,,BELUM_DIPERIKSA,
NB007,Hutan Jati,Rejoso,0,Hutan Jati,High,2,0.7601071,1,Hutan Jati,9.715170432230511,KEEP_NEGATIVE,FALSE_POSITIVE,0.7601071,PRIORITY_2,,BELUM_DIPERIKSA,
BW003,Selatan Stasiun Sukomoro,Sukomoro,1,Bawang Merah,High,4,0.28668025,0,Bawang Merah,2.42716195154345,KEEP_HIGH,FALSE_NEGATIVE,0.7133197499999999,PRIORITY_2,,BELUM_DIPERIKSA,
BW026,Sawah Desa Ngumpul,Bagor,1,Bawang Merah,High,1,0.31431022,0,Bawang Merah,4.071626814352514,KEEP_HIGH,FALSE_NEGATIVE,0.68568978,PRIORITY_2,,BELUM_DIPERIKSA,
BW010,Sawah Selatan Rel KA,Sukomoro,1,Bawang Merah,High,2,0.3878627,0,Bawang Merah,1.30757589596236,KEEP_HIGH,FALSE_NEGATIVE,0.6121373,PRIORITY_2,,BELUM_DIPERIKSA,
NB003,Lahan Tebu,Gondang,0,Tebu,High,1,0.5793261,1,Tebu,3.65269596123908,KEEP_HARD_NEGATIVE,FALSE_POSITIVE,0.5793261,PRIORITY_2,,BELUM_DIPERIKSA,
BW012,Area Pertanian Banjarejo,Rejoso,1,Bawang Merah,High,2,0.4303873,0,Bawang Merah,1.7855052148341886,KEEP_HIGH,FALSE_NEGATIVE,0.5696127,PRIORITY_2,,BELUM_DIPERIKSA,
BW006,Blok Pertanian Kapas Barat,Sukomoro,1,Bawang Merah,High,4,0.44104338,0,Bawang Merah,3.073042123907737,KEEP_HIGH,FALSE_NEGATIVE,0.55895662,PRIORITY_2,,BELUM_DIPERIKSA,
BW007,Sawah Desa Bungur,Sukomoro,1,Bawang Merah,High,3,0.4463965,0,Bawang Merah,1.509849416794741,KEEP_HIGH,FALSE_NEGATIVE,0.5536035,PRIORITY_2,,BELUM_DIPERIKSA,
BW035,Sawah Desa Balonggebang,Gondang,1,Bawang Merah,High,2,0.4597585,0,Bawang Merah,1.4512917064347888,KEEP_HIGH,FALSE_NEGATIVE,0.5402415,PRIORITY_2,,BELUM_DIPERIKSA,
BW002,Persawahan Desa Nglundo,Sukomoro,1,Bawang Merah,High,2,0.4832731,0,Bawang Merah,3.4449326015245125,KEEP_HIGH,FALSE_NEGATIVE,0.5167269,PRIORITY_2,,BELUM_DIPERIKSA,
BW020,Sawah Dekat Sungai,Rejoso,1,Bawang Merah,High,2,0.4888314,0,Bawang Merah,0.4594397073689,KEEP_HIGH,FALSE_NEGATIVE,0.5111686,PRIORITY_2,,BELUM_DIPERIKSA,
BW017,Blok Barat Rejoso,Rejoso,1,Bawang Merah,High,1,0.5535352,1,Bawang Merah,3.3012504644720377,KEEP_HIGH,TRUE_POSITIVE,0.4464648,OK,,BELUM_DIPERIKSA,
BW014,Timur Kantor Kecamatan,Rejoso,1,Bawang Merah,High,2,0.5581819,1,Bawang Merah,1.6584013208627215,KEEP_HIGH,TRUE_POSITIVE,0.4418181,OK,,BELUM_DIPERIKSA,
BW004,Area Timur Pasar Sukomoro,Sukomoro,1,Bawang Merah,High,4,0.6084652,1,Bawang Merah,1.663246877098066,KEEP_HIGH,TRUE_POSITIVE,0.39153479999999996,OK,,BELUM_DIPERIKSA,
BW019,Area Utara Jalan Tol,Rejoso,1,Bawang Merah,High,4,0.6379013,1,Bawang Merah,1.5686057711381274,KEEP_HIGH,TRUE_POSITIVE,0.3620987,OK,,BELUM_DIPERIKSA,
NB002,Gudang Warga,Sukomoro,0,Bangunan,High,3,0.35865813,0,Bangunan,1.9792103684375244,KEEP_HARD_NEGATIVE,TRUE_NEGATIVE,0.35865813,OK,,BELUM_DIPERIKSA,
BW001,Utara Jalan Raya Sukomoro,Sukomoro,1,Bawang Merah,High,4,0.6488997,1,Bawang Merah,4.8239345402884535,KEEP_HIGH,TRUE_POSITIVE,0.35110030000000003,OK,,BELUM_DIPERIKSA,
BW028,Sawah Barat Timbangan,Bagor,1,Bawang Merah,High,1,0.69498956,1,Bawang Merah,3.187412753731605,KEEP_HIGH,TRUE_POSITIVE,0.30501044,OK,,BELUM_DIPERIKSA,
BW034,Area Selatan Gondang,Gondang,1,Bawang Merah,High,4,0.7118199,1,Bawang Merah,1.9669155855962928,KEEP_HIGH,TRUE_POSITIVE,0.28818010000000005,OK,,BELUM_DIPERIKSA,
