Parent_Site,Label,Lokasi,Kecamatan,Latitude,Longitude,Confidence,Reference_Type,Source,B2,B3,B4,B8,B11,B12,NDVI,NDWI,Dataset_Version
BW001,1,Utara Jalan Raya Sukomoro,Sukomoro,-7.585059848755797,111.93524971417608,High,Positive_Reference,Original_Positive_Reference,0.0723000019788742,0.0856499969959259,0.0926000028848648,0.1860000044107437,0.3048999905586242,0.2890999913215637,0.3323848843574524,-0.373222678899765,V4.1_STRICT
BW002,1,Persawahan Desa Nglundo,Sukomoro,-7.586317490153564,111.9482752857958,High,Positive_Reference,Original_Positive_Reference,0.0517500005662441,0.0617999993264675,0.0603000000119209,0.0949999988079071,0.0999500006437301,0.0687500014901161,0.2161711752414703,-0.2376575767993927,V4.1_STRICT
BW003,1,Selatan Stasiun Sukomoro,Sukomoro,-7.595390474523172,111.94611932911393,High,Positive_Reference,Original_Positive_Reference,0.0577999986708164,0.0707999989390373,0.0697999969124794,0.1378999948501587,0.1105000004172325,0.0724000036716461,0.3222835958003998,-0.2898876368999481,V4.1_STRICT
BW004,1,Area Timur Pasar Sukomoro,Sukomoro,-7.597546431205059,111.94719730745486,High,Positive_Reference,Original_Positive_Reference,0.0577999986708164,0.0745000019669532,0.0711999982595443,0.1678999960422516,0.1151499971747398,0.0719999969005584,0.419687420129776,-0.3980297446250915,V4.1_STRICT
BW005,1,Persawahan Desa Kapas,Sukomoro,-7.605182111120074,111.9384836491989,High,Positive_Reference,Original_Positive_Reference,0.0555999986827373,0.0786999985575676,0.0785999968647956,0.1974000036716461,0.1713999956846237,0.1103999987244606,0.4050343334674835,-0.4196676015853882,V4.1_STRICT
BW006,1,Blok Pertanian Kapas Barat,Sukomoro,-7.606349920989429,111.93641752404542,High,Positive_Reference,Original_Positive_Reference,0.0720499977469444,0.094650000333786,0.1070000007748603,0.271450012922287,0.2212000042200088,0.1356000006198883,0.2916136384010315,-0.4266977906227112,V4.1_STRICT
BW007,1,Sawah Desa Bungur,Sukomoro,-7.581197093034083,111.94010061671032,High,Positive_Reference,Original_Positive_Reference,0.0473500005900859,0.0636999979615211,0.0582000017166137,0.231900006532669,0.1931000053882599,0.1339000016450882,0.5977163910865784,-0.5719962120056152,V4.1_STRICT
BW008,1,Perbatasan Nganjuk Kota,Sukomoro,-7.583442881244382,111.93147678998275,Medium,Positive_Reference,Original_Positive_Reference,0.0675999969244003,0.0843999981880188,0.0970000028610229,0.1655000001192093,0.1504999995231628,0.1096000000834465,0.2242990583181381,-0.3263157904148102,V4.1_STRICT
BW010,1,Sawah Selatan Rel KA,Sukomoro,-7.596737947449351,111.94028027976714,High,Positive_Reference,Original_Positive_Reference,0.0491999983787536,0.0697999969124794,0.0627999976277351,0.1676999926567077,0.1339000016450882,0.0869000032544136,0.4567901194095611,-0.4262227714061737,V4.1_STRICT
BW011,1,Persawahan Desa Rejoso,Rejoso,-7.545084818612478,111.8852135528506,High,Positive_Reference,Original_Positive_Reference,0.0520000010728836,0.0672999992966651,0.0551999993622303,0.1527999937534332,0.1002999991178512,0.0553000010550022,0.5188866853713989,-0.4622009694576263,V4.1_STRICT
BW012,1,Area Pertanian Banjarejo,Rejoso,-7.542300041231708,111.8814406286573,High,Positive_Reference,Original_Positive_Reference,0.0533999986946582,0.0835999995470047,0.0857999995350837,0.2689000070095062,0.2161999940872192,0.1321000009775161,0.5246305465698242,-0.5210617184638977,V4.1_STRICT
BW014,1,Timur Kantor Kecamatan,Rejoso,-7.54840858516372,111.88853731940183,High,Positive_Reference,Original_Positive_Reference,0.0599000006914138,0.0781999975442886,0.069300003349781,0.201550006866455,0.1106500029563903,0.0640999972820282,0.5306845903396606,-0.4991340935230255,V4.1_STRICT
BW017,1,Blok Barat Rejoso,Rejoso,-7.546162796953422,111.8791050089186,High,Positive_Reference,Original_Positive_Reference,0.0313999988138675,0.046799998730421,0.034400001168251,0.2205000072717666,0.1497000008821487,0.0807000026106834,0.7230614423751831,-0.6357552409172058,V4.1_STRICT
BW018,1,Sawah Perbatasan Bagor,Rejoso,-7.555415444379853,111.8724574758161,Medium,Positive_Reference,Original_Positive_Reference,0.0564499981701374,0.0686499997973442,0.0635500028729438,0.1713999956846237,0.0917500033974647,0.0551999993622303,0.4513504207134247,-0.4299062490463257,V4.1_STRICT
