Sample_ID,Kecamatan,Area_Spesifik,Latitude,Longitude,Label,Kelas_Detail,Confidence,Sumber_GT,Ciri_Visual
BW001,Sukomoro,Utara Jalan Raya Sukomoro,-7.585102,111.93521,1,Bawang Merah,High,Interpretasi Visual Satelit,"Pola bedengan linier rapat, warna daun hijau kekuningan."
BW002,Sukomoro,Persawahan Desa Nglundo,-7.586311,111.948305,1,Bawang Merah,High,Interpretasi Visual Satelit,Petak memanjang dengan parit irigasi kecil di antaranya.
BW003,Sukomoro,Selatan Stasiun Sukomoro,-7.59542,111.946112,1,Bawang Merah,High,Interpretasi Visual Satelit,"Tekstur bergaris tegas, area tanah terbuka di sela tanaman."
BW004,Sukomoro,Area Timur Pasar Sukomoro,-7.597511,111.947201,1,Bawang Merah,High,Interpretasi Visual Satelit,Lahan intensif dengan bedengan membujur utara-selatan.
BW005,Sukomoro,Persawahan Desa Kapas,-7.605213,111.938515,1,Bawang Merah,High,Interpretasi Visual Satelit,"Pola hijau terang, kontras dengan persawahan padi sekitarnya."
BW006,Sukomoro,Blok Pertanian Kapas Barat,-7.606322,111.93641,1,Bawang Merah,High,Interpretasi Visual Satelit,Garis bedengan terlihat jelas pada zoom level tinggi.
BW007,Sukomoro,Sawah Desa Bungur,-7.581205,111.940125,1,Bawang Merah,High,Interpretasi Visual Satelit,Dominasi lahan merah gembur dengan tunas bawang muda.
BW008,Sukomoro,Perbatasan Nganjuk Kota,-7.58341,111.931502,1,Bawang Merah,Medium,Interpretasi Visual Satelit,Petak sempit dengan kepadatan tanam tinggi.
BW010,Sukomoro,Sawah Selatan Rel KA,-7.59672,111.940315,1,Bawang Merah,High,Interpretasi Visual Satelit,Hamparan bedengan seragam dengan parit air.
BW011,Rejoso,Persawahan Desa Rejoso,-7.545102,111.88521,1,Bawang Merah,High,Interpretasi Visual Satelit,"Tekstur garis rapat, bedengan membujur timur-barat."
BW012,Rejoso,Area Pertanian Banjarejo,-7.542315,111.881405,1,Bawang Merah,High,Interpretasi Visual Satelit,Petak sawah luas dengan warna daun bawang pekat.
BW013,Rejoso,Sawah Desa Mlorah,-7.551203,111.875612,1,Bawang Merah,Medium,Interpretasi Visual Satelit,"Lahan bawang merah rotasi, pola garis tanah jelas."
