Sample_ID,Parent_Site,Lokasi,Kecamatan,Latitude,Longitude,Label,Kelas_Detail,Confidence,Raster_Row,Raster_Col,Pixel_ID,B2,B3,B4,B8,B11,B12,NDVI,NDWI
NB001_P01,NB001,Kantor Kecamatan,Sukomoro,-7.59853457801759,111.9422565733922,0,Permukiman/Bangunan,High,2277,2414,2277_2414,0.04874999821186066,0.06870000064373016,0.0677499994635582,0.19460000097751617,0.15764999389648438,0.10005000233650208,0.4685966372489929,-0.482598215341568
NB002_P01,NB002,Gudang Warga,Sukomoro,-7.596109126750467,111.94153792116491,0,Bangunan,High,2250,2406,2250_2406,0.05350000038743019,0.0645499974489212,0.06560000032186508,0.1342500001192093,0.1358499974012375,0.090549997985363,0.3346187174320221,-0.3617454469203949
NB003_P01,NB003,Lahan Tebu,Gondang,-7.472051786013561,111.96094153130188,0,Tebu,High,869,2622,869_2622,0.03085000067949295,0.052799999713897705,0.0333000011742115,0.2529999911785126,0.1826999932527542,0.08375000208616257,0.7721434831619263,-0.6653987169265747
NB003_P02,NB003,Lahan Tebu,Gondang,-7.472051786013561,111.9610313628303,0,Tebu,High,869,2623,869_2623,0.030899999663233757,0.05054999887943268,0.03240000084042549,0.2405499964952469,0.18195000290870667,0.08429999649524689,0.7671794891357422,-0.6600341796875
NB003_P03,NB003,Lahan Tebu,Gondang,-7.472051786013561,111.96112119435871,0,Tebu,High,869,2624,869_2624,0.03200000151991844,0.05115000158548355,0.03395000100135803,0.23989999294281006,0.18195000290870667,0.08429999649524689,0.7582619190216064,-0.6563350558280945
NB003_P04,NB003,Lahan Tebu,Gondang,-7.472141617541974,111.96094153130188,0,Tebu,High,870,2622,870_2622,0.02694999985396862,0.045249998569488525,0.030249999836087227,0.22224999964237213,0.1826999932527542,0.08375000208616257,0.7667980790138245,-0.6667720675468445
NB003_P05,NB003,Lahan Tebu,Gondang,-7.472141617541974,111.9610313628303,0,Tebu,High,870,2623,870_2623,0.029850000515580177,0.04569999873638153,0.02930000051856041,0.21754999458789825,0.18195000290870667,0.08429999649524689,0.7626084089279175,-0.6574995517730713
NB003_P06,NB003,Lahan Tebu,Gondang,-7.472141617541974,111.96112119435871,0,Tebu,High,870,2624,870_2624,0.02889999933540821,0.043549999594688416,0.03229999914765358,0.22679999470710754,0.18195000290870667,0.08429999649524689,0.7568398714065552,-0.677782416343689
NB003_P07,NB003,Lahan Tebu,Gondang,-7.472231449070385,111.96094153130188,0,Tebu,High,871,2622,871_2622,0.026350000873208046,0.041450001299381256,0.028300000354647636,0.225600004196167,0.19609999656677246,0.09679999947547913,0.7757735252380371,-0.6859557032585144
NB003_P08,NB003,Lahan Tebu,Gondang,-7.472231449070385,111.9610313628303,0,Tebu,High,871,2623,871_2623,0.0272000003606081,0.03999999910593033,0.025450000539422035,0.2214999943971634,0.1910499930381775,0.09205000102519989,0.7811451554298401,-0.6861312389373779
NB003_P09,NB003,Lahan Tebu,Gondang,-7.472231449070385,111.96112119435871,0,Tebu,High,871,2624,871_2624,0.02590000070631504,0.04114999994635582,0.02759999968111515,0.22460000216960907,0.1910499930381775,0.09205000102519989,0.7794225811958313,-0.6924239993095398
NB004_P01,NB004,Sawah Padi,Gondang,-7.485077357633294,111.95860591156317,0,Padi,High,1014,2596,1014_2596,0.035599999129772186,0.05290000140666962,0.039400000125169754,0.24580000340938568,0.23029999434947968,0.12409999966621399,0.738726794719696,-0.6499657034873962
NB004_P02,NB004,Sawah Padi,Gondang,-7.485077357633294,111.95869574309158,0,Padi,High,1014,2597,1014_2597,0.034699998795986176,0.050700001418590546,0.03500000014901161,0.2379000037908554,0.19449999928474426,0.09969999641180038,0.7492163181304932,-0.6497409343719482
NB004_P03,NB004,Sawah Padi,Gondang,-7.485077357633294,111.95878557462,0,Padi,High,1014,2598,1014_2598,0.033399999141693115,0.04969999939203262,0.03400000184774399,0.23919999599456787,0.19449999928474426,0.09969999641180038,0.7473996877670288,-0.6564589738845825
NB004_P04,NB004,Sawah Padi,Gondang,-7.485167189161706,111.95860591156317,0,Padi,High,1015,2596,1015_2596,0.04830000177025795,0.06920000165700912,0.06279999762773514,0.2639000117778778,0.23029999434947968,0.12409999966621399,0.6249651908874512,-0.5832223892211914
NB004_P05,NB004,Sawah Padi,Gondang,-7.485167189161706,111.95869574309158,0,Padi,High,1015,2597,1015_2597,0.04039999842643738,0.0568000003695488,0.05079999938607216,0.23420000076293945,0.19449999928474426,0.09969999641180038,0.673107385635376,-0.6194086670875549
NB004_P06,NB004,Sawah Padi,Gondang,-7.485167189161706,111.95878557462,0,Padi,High,1015,2598,1015_2598,0.038100000470876694,0.057100001722574234,0.045499999076128006,0.2526000142097473,0.19449999928474426,0.09969999641180038,0.7161571979522705,-0.6386698484420776
NB004_P07,NB004,Sawah Padi,Gondang,-7.485257020690118,111.95860591156317,0,Padi,High,1016,2596,1016_2596,0.0560000017285347,0.0778999999165535,0.08055000007152557,0.26409998536109924,0.2703999876976013,0.16369999945163727,0.5374028086662292,-0.5346687436103821
NB004_P08,NB004,Sawah Padi,Gondang,-7.485257020690118,111.95869574309158,0,Padi,High,1016,2597,1016_2597,0.040049999952316284,0.05654999986290932,0.053199999034404755,0.22179999947547913,0.22689999639987946,0.11964999884366989,0.6520406603813171,-0.5954417586326599
NB004_P09,NB004,Sawah Padi,Gondang,-7.485257020690118,111.95878557462,0,Padi,High,1016,2598,1016_2598,0.03799999877810478,0.06019999831914902,0.04625000059604645,0.25290000438690186,0.22689999639987946,0.11964999884366989,0.7285842299461365,-0.6259145140647888
NB005_P01,NB005,Jalan Barat,Bagor,-7.575268212158894,111.85916240961114,0,Jalan,High,2018,1489,2018_1489,0.0637499988079071,0.07769999653100967,0.07769999653100967,0.15264999866485596,0.1269499957561493,0.090549997985363,0.3442324101924896,-0.3306598663330078
NB006_P01,NB006,Jalan Timur,Sukomoro,-7.594222664653817,111.94809562273898,0,Jalan,High,2229,2479,2229_2479,0.07739999890327454,0.09780000150203705,0.09220000356435776,0.24459999799728394,0.226500004529953,0.17919999361038208,0.43995022773742676,-0.4269924461841583
NB007_P01,NB007,Hutan Jati,Rejoso,-7.491365564622131,111.88413557450967,0,Hutan Jati,High,1084,1767,1084_1767,0.028699999675154686,0.03779999911785126,0.026399999856948853,0.01759999990463257,0.01510000042617321,0.012400000356137753,-0.3333333432674408,0.449139267206192
NB007_P02,NB007,Hutan Jati,Rejoso,-7.491365564622131,111.88422540603807,0,Hutan Jati,High,1084,1768,1084_1768,0.028999999165534973,0.039799999445676804,0.028599999845027924,0.01769999973475933,0.01549999974668026,0.012500000186264515,-0.34078213572502136,0.445141077041626
NB007_P03,NB007,Hutan Jati,Rejoso,-7.491365564622131,111.88431523756648,0,Hutan Jati,High,1084,1769,1084_1769,0.03020000085234642,0.04039999842643738,0.03009999915957451,0.017000000923871994,0.01549999974668026,0.012500000186264515,-0.36685287952423096,0.46875
NB007_P04,NB007,Hutan Jati,Rejoso,-7.491455396150543,111.88413557450967,0,Hutan Jati,High,1085,1767,1085_1767,0.029899999499320984,0.03620000183582306,0.026599999517202377,0.01679999940097332,0.01510000042617321,0.012400000356137753,-0.36000001430511475,0.4615384638309479
NB007_P05,NB007,Hutan Jati,Rejoso,-7.491455396150543,111.88422540603807,0,Hutan Jati,High,1085,1768,1085_1768,0.02850000001490116,0.03779999911785126,0.02810000069439411,0.016300000250339508,0.01549999974668026,0.012500000186264515,-0.36263737082481384,0.47294119000434875
NB007_P06,NB007,Hutan Jati,Rejoso,-7.491455396150543,111.88431523756648,0,Hutan Jati,High,1085,1769,1085_1769,0.0284000001847744,0.03869999945163727,0.02930000051856041,0.015599999576807022,0.01549999974668026,0.012500000186264515,-0.3791208863258362,0.49677419662475586
NB007_P07,NB007,Hutan Jati,Rejoso,-7.491545227678955,111.88413557450967,0,Hutan Jati,High,1086,1767,1086_1767,0.027000000700354576,0.03750000149011612,0.02759999968111515,0.016300000250339508,0.0142000000923872,0.012000000104308128,-0.3456464409828186,0.44766145944595337
NB007_P08,NB007,Hutan Jati,Rejoso,-7.491545227678955,111.88422540603807,0,Hutan Jati,High,1086,1768,1086_1768,0.03020000085234642,0.03739999979734421,0.027300000190734863,0.014800000004470348,0.014499999582767487,0.011500000022351742,-0.3832853138446808,0.4731934666633606
NB007_P09,NB007,Hutan Jati,Rejoso,-7.491545227678955,111.88431523756648,0,Hutan Jati,High,1086,1769,1086_1769,0.029899999499320984,0.03779999911785126,0.027699999511241913,0.014399999752640724,0.014499999582767487,0.011500000022351742,-0.37931033968925476,0.4952380955219269
NB008_P01,NB008,Hutan Rimba,Gondang,-7.445192159018387,111.94540067688662,0,Hutan,High,570,2449,570_2449,0.04839999973773956,0.07320000231266022,0.05979999899864197,0.2842999994754791,0.22360000014305115,0.12430000305175781,0.6525275707244873,-0.5866742134094238
NB008_P02,NB008,Hutan Rimba,Gondang,-7.445192159018387,111.94549050841503,0,Hutan,High,570,2450,570_2450,0.041600000113248825,0.06599999964237213,0.05079999938607216,0.32170000672340393,0.22360000014305115,0.12430000305175781,0.7277598977088928,-0.6595744490623474
NB008_P03,NB008,Hutan Rimba,Gondang,-7.445192159018387,111.94558033994343,0,Hutan,High,570,2451,570_2451,0.03889999911189079,0.06300000101327896,0.04780000075697899,0.33640000224113464,0.21660000085830688,0.12030000239610672,0.7534176111221313,-0.6872673034667969
NB008_P04,NB008,Hutan Rimba,Gondang,-7.4452819905468,111.94540067688662,0,Hutan,High,571,2449,571_2449,0.04610000178217888,0.0689999982714653,0.05050000175833702,0.29280000925064087,0.20100000500679016,0.10499999672174454,0.7058823704719543,-0.6186791658401489
NB008_P05,NB008,Hutan Rimba,Gondang,-7.4452819905468,111.94549050841503,0,Hutan,High,571,2450,571_2450,0.039900001138448715,0.06080000102519989,0.04619999974966049,0.3111000061035156,0.20100000500679016,0.10499999672174454,0.7401574850082397,-0.6715288758277893
NB008_P06,NB008,Hutan Rimba,Gondang,-7.4452819905468,111.94558033994343,0,Hutan,High,571,2451,571_2451,0.03999999910593033,0.06239999830722809,0.04600000008940697,0.319599986076355,0.19130000472068787,0.10400000214576721,0.7495235204696655,-0.6732984185218811
NB008_P07,NB008,Hutan Rimba,Gondang,-7.445371822075211,111.94540067688662,0,Hutan,High,572,2449,572_2449,0.043699998408555984,0.066600002348423,0.05040000006556511,0.28519999980926514,0.20100000500679016,0.10499999672174454,0.7010949850082397,-0.6234428286552429
NB008_P08,NB008,Hutan Rimba,Gondang,-7.445371822075211,111.94549050841503,0,Hutan,High,572,2450,572_2450,0.037700001150369644,0.056699998676776886,0.044199999421834946,0.28209999203681946,0.20100000500679016,0.10499999672174454,0.7276214957237244,-0.6637930870056152
NB008_P09,NB008,Hutan Rimba,Gondang,-7.445371822075211,111.94558033994343,0,Hutan,High,572,2451,572_2451,0.041200000792741776,0.05999999865889549,0.05000000074505806,0.26759999990463257,0.19130000472068787,0.10400000214576721,0.6782210469245911,-0.628022313117981
