Parent_Site,Label,Lokasi,DW_Class,DW_Probability,DW_Consistency,DW_Score,Kecamatan,Latitude,Longitude,Distance_Positive_m,Confidence,Reference_Type,Source,Period,Use_For_Training,B2,B3,B4,B8,B11,B12,NDVI,NDWI
DWN001,0,Dynamic World temporal trees,trees,0.37863948157367605,0.9333333373069763,0.6005170238669961,Sukomoro,-7.60590076334737,111.98465705480264,4231.944317409411,Pseudo_Medium,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.03799999877810478,0.06930000334978104,0.04280000180006027,0.3887999951839447,0.20469999313354492,0.10454999655485153,0.8002594113349915,-0.711181640625
DWN002,0,Dynamic World temporal trees,trees,0.7528184802504256,1.0,0.8516910881502554,Rejoso,-7.4836400531787035,111.82385861894524,8278.456574429516,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.028850000351667404,0.050599999725818634,0.03564999997615814,0.26190000772476196,0.16885000467300415,0.08574999868869781,0.7560281157493591,-0.6700364351272583
DWN003,0,Dynamic World temporal trees,trees,0.6918069776923707,1.0,0.8150841866154224,Bagor,-7.6292569607344785,111.81640260208705,6336.230603503169,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.029200000688433647,0.04639999940991402,0.029600000008940697,0.28554999828338623,0.18050000071525574,0.0828000009059906,0.8060815930366516,-0.7121413946151733
DWN004,0,Dynamic World temporal trees,trees,0.7331193735590205,1.0,0.8398716241354123,Rejoso,-7.492174048377839,111.8738947802707,3908.8997482706,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.030300000682473183,0.05299999937415123,0.0348999984562397,0.314300000667572,0.1995999962091446,0.10339999943971634,0.8066481947898865,-0.7114075422286987
DWN005,0,Dynamic World temporal trees,trees,0.7304882256181112,1.0,0.8382929353708668,Rejoso,-7.442856539279678,111.86589977424204,9419.535378902558,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.026499999687075615,0.047200001776218414,0.025299999862909317,0.365200012922287,0.16439999639987946,0.07100000232458115,0.8725696802139282,-0.7728986740112305
DWN006,0,Dynamic World temporal trees,trees,0.7297897035256028,1.0,0.8378738221153617,Rejoso,-7.48390954776394,111.82143316767812,8485.52084086962,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.037300001829862595,0.06109999865293503,0.03840000182390213,0.28619998693466187,0.1800999939441681,0.09319999814033508,0.7507147192955017,-0.6400642991065979
DWN007,0,Dynamic World temporal built,built,0.7452181601578272,1.0,0.8471308960946964,Sukomoro,-7.623328079859289,111.93156662151118,1962.128710589263,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.05920000001788139,0.0702499970793724,0.0831499993801117,0.13910000026226044,0.26669999957084656,0.24525000154972076,0.24052400887012482,-0.33298179507255554
DWN008,0,Dynamic World temporal built,built,0.739800083450973,1.0,0.8438800500705839,Rejoso,-7.540413579135057,111.879194840447,324.4802759925593,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.08579999953508377,0.0868000015616417,0.10899999737739563,0.18119999766349792,0.28279998898506165,0.24789999425411224,0.2418634295463562,-0.34316354990005493
DWN009,0,Dynamic World temporal built,built,0.7556507989453772,1.0,0.8533904793672263,Bagor,-7.603205817495012,111.85044875135519,1647.4131708187422,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.0729999989271164,0.09139999747276306,0.1088000014424324,0.19040000438690186,0.25859999656677246,0.22210000455379486,0.27563250064849854,-0.356220006942749
DWN010,0,Dynamic World temporal built,built,0.748393085519118,1.0,0.8490358513114709,Bagor,-7.587125973909273,111.88413557450966,2169.3816465900104,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.06679999828338623,0.08399999886751175,0.11640000343322754,0.16899999976158142,0.23280000686645508,0.21140000224113464,0.18972896039485931,-0.33596837520599365
